Date,Tournament,Surface,Rd,Rk,vRk,meta_info,Score,Observed Player Name,Opponent Player Name,Observed Player W/L,More,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,Time
21‑Feb‑2022,Acapulco,Hard,SF,5,2,(4)Nadal d. (1)Daniil Medvedev [RUS],6-3 6-3,Rafael Nadal,Daniil Medvedev,W,(ch),1.29,2.5%,1.3%,71.3%,64.9%,65.2%,11/11,2:00
21‑Feb‑2022,Acapulco,Hard,QF,5,39,(4)Nadal d. Tommy Paul [USA],6-0 7-6(5),Rafael Nadal,Tommy Paul,W,,1.37,3.0%,6.0%,58.2%,69.2%,46.4%,4/7,2:03
21‑Feb‑2022,Acapulco,Hard,R16,5,130,(4)Nadal d. (LL)Stefan Kozlov [USA],6-0 6-3,Rafael Nadal,Stefan Kozlov,W,,2.15,5.0%,0.0%,77.5%,77.4%,66.7%,0/1,1:16
21‑Feb‑2022,Acapulco,Hard,R32,5,100,(4)Nadal d. (LL)Denis Kudla [USA],6-3 6-2,Rafael Nadal,Denis Kudla,W,,4.46,20.0%,0.0%,67.5%,96.3%,76.9%,0/0,1:16
17‑Jan‑2022,Australian Open,Hard,F,5,2,(6)Nadal d. (2)Daniil Medvedev [RUS],2-6 6-7(5) 6-4 6-4 7-5,Rafael Nadal,Daniil Medvedev,W,(ch),0.94,1.6%,2.6%,61.9%,66.7%,47.2%,16/22,5:24
17‑Jan‑2022,Australian Open,Hard,SF,5,7,(6)Nadal d. (7)Matteo Berrettini [ITA],6-3 6-2 3-6 6-3,Rafael Nadal,Matteo Berrettini,W,(ch),1.19,4.9%,2.0%,68.6%,72.9%,62.5%,1/2,2:55
17‑Jan‑2022,Australian Open,Hard,QF,5,14,(6)Nadal d. (14)Denis Shapovalov [CAN],6-3 6-4 4-6 3-6 6-3,Rafael Nadal,Denis Shapovalov,W,(ch),1.11,5.5%,7.5%,68.5%,79.0%,45.7%,6/8,4:08
17‑Jan‑2022,Australian Open,Hard,R16,5,69,(6)Nadal d. Adrian Mannarino [FRA],7-6(14) 6-2 6-2,Rafael Nadal,Adrian Mannarino,W,,1.58,18.2%,6.8%,54.5%,87.5%,60.0%,1/2,2:40
17‑Jan‑2022,Australian Open,Hard,R32,5,30,(6)Nadal d. (28)Karen Khachanov [RUS],6-3 6-2 3-6 6-1,Rafael Nadal,Karen Khachanov,W,,1.62,4.1%,6.1%,67.3%,83.3%,56.3%,4/5,2:50
17‑Jan‑2022,Australian Open,Hard,R64,5,126,(6)Nadal d. (Q)Yannick Hanfmann [GER],6-2 6-3 6-4,Rafael Nadal,Yannick Hanfmann,W,,1.49,1.2%,5.9%,54.1%,76.1%,64.1%,2/2,2:42
17‑Jan‑2022,Australian Open,Hard,R128,5,66,(6)Nadal d. Marcos Giron [USA],6-1 6-4 6-2,Rafael Nadal,Marcos Giron,W,,2.13,9.7%,2.8%,70.8%,84.3%,61.9%,2/2,1:49
3‑Jan‑2022,Melbourne,Hard,F,6,112,(1)Nadal d. (Q)Maxime Cressy [USA],7-6(6) 6-3,Rafael Nadal,Maxime Cressy,W,(ch),1.40,14.1%,6.3%,64.1%,78.0%,65.2%,0/1,1:47
3‑Jan‑2022,Melbourne,Hard,SF,6,95,(1)Nadal d. Emil Ruusuvuori [FIN],6-4 7-5,Rafael Nadal,Emil Ruusuvuori,W,,1.35,4.4%,1.5%,69.1%,76.6%,52.4%,5/6,1:56
3‑Jan‑2022,Melbourne,Hard,QF,6,65,(1)Nadal d. Tallon Griekspoor [NED],W/O,Rafael Nadal,Tallon Griekspoor,W,,,,,,,,,
3‑Jan‑2022,Melbourne,Hard,R16,6,104,(1)Nadal d. (Q)Ricardas Berankis [LTU],6-2 7-5,Rafael Nadal,Ricardas Berankis,W,(ch),1.38,5.3%,3.5%,63.2%,77.8%,42.9%,0/2,1:31
2‑Aug‑2021,Washington,Hard,R16,3,50,(14)Lloyd Harris [RSA] d. (1)Nadal,6-4 1-6 6-4,Rafael Nadal,Lloyd Harris,L,,1.07,9.9%,2.5%,64.2%,78.8%,44.8%,1/3,2:10
2‑Aug‑2021,Washington,Hard,R32,3,192,(1)Nadal d. (WC)Jack Sock [USA],6-2 4-6 7-6(1),Rafael Nadal,Jack Sock,W,,1.13,7.0%,2.6%,58.8%,70.1%,57.4%,8/10,3:04
31‑May‑2021,Roland Garros,Clay,SF,3,1,(1)Novak Djokovic [SRB] d. (3)Nadal,3-6 6-3 7-6(4) 6-2,Rafael Nadal,Novak Djokovic,L,(ch),0.86,4.5%,6.0%,64.7%,59.3%,40.4%,14/22,4:11
31‑May‑2021,Roland Garros,Clay,QF,3,10,(3)Nadal d. (10)Diego Schwartzman [ARG],6-3 4-6 6-4 6-0,Rafael Nadal,Diego Schwartzman,W,(ch),1.60,6.6%,3.3%,65.9%,73.3%,67.7%,1/4,2:45
31‑May‑2021,Roland Garros,Clay,R16,3,19,(3)Nadal d. (18)Jannik Sinner [ITA],7-5 6-3 6-0,Rafael Nadal,Jannik Sinner,W,(ch),1.69,4.8%,8.4%,57.8%,81.3%,42.9%,3/7,2:17
31‑May‑2021,Roland Garros,Clay,R32,3,45,(3)Nadal d. Cameron Norrie [GBR],6-3 6-3 6-3,Rafael Nadal,Cameron Norrie,W,(ch),1.59,3.9%,2.6%,61.8%,78.7%,55.2%,1/3,2:07
31‑May‑2021,Roland Garros,Clay,R64,3,53,(3)Nadal d. Richard Gasquet [FRA],6-0 7-5 6-2,Rafael Nadal,Richard Gasquet,W,,1.62,3.9%,3.9%,58.4%,84.4%,46.9%,3/4,2:14
31‑May‑2021,Roland Garros,Clay,R128,3,63,(3)Nadal d. Alexei Popyrin [AUS],6-3 6-2 7-6(3),Rafael Nadal,Alexei Popyrin,W,,1.29,7.5%,5.4%,63.4%,81.4%,55.9%,3/4,2:23
10‑May‑2021,Rome Masters,Clay,F,3,1,(2)Nadal d. (1)Novak Djokovic [SRB],7-5 1-6 6-3,Rafael Nadal,Novak Djokovic,W,(ch),1.04,3.1%,1.0%,75.0%,65.3%,45.8%,5/8,2:49
10‑May‑2021,Rome Masters,Clay,SF,3,47,(2)Nadal d. Reilly Opelka [USA],6-4 6-4,Rafael Nadal,Reilly Opelka,W,(ch),1.37,8.8%,1.8%,75.4%,83.7%,57.1%,4/4,1:32
10‑May‑2021,Rome Masters,Clay,QF,3,6,(2)Nadal d. (6)Alexander Zverev [GER],6-3 6-4,Rafael Nadal,Alexander Zverev,W,,1.21,1.4%,0.0%,72.5%,58.0%,78.9%,9/10,1:59
10‑May‑2021,Rome Masters,Clay,R16,3,14,(2)Nadal d. (13)Denis Shapovalov [CAN],3-6 6-4 7-6(3),Rafael Nadal,Denis Shapovalov,W,,1.04,1.7%,1.7%,68.9%,64.6%,45.9%,5/10,3:27
10‑May‑2021,Rome Masters,Clay,R32,3,18,(2)Nadal d. Jannik Sinner [ITA],7-5 6-4,Rafael Nadal,Jannik Sinner,W,,1.26,0.0%,1.6%,49.2%,70.0%,54.8%,1/4,2:10
3‑May‑2021,Madrid Masters,Clay,QF,2,6,(5)Alexander Zverev [GER] d. (1)Nadal,6-4 6-4,Rafael Nadal,Alexander Zverev,L,(ch),0.77,0.0%,4.5%,63.6%,61.9%,50.0%,3/6,1:44
3‑May‑2021,Madrid Masters,Clay,R16,2,76,(1)Nadal d. (Q)Alexei Popyrin [AUS],6-3 6-3,Rafael Nadal,Alexei Popyrin,W,,1.30,1.8%,0.0%,63.6%,71.4%,60.0%,5/6,1:19
3‑May‑2021,Madrid Masters,Clay,R32,2,120,(1)Nadal d. (WC)Carlos Alcaraz [ESP],6-1 6-2,Rafael Nadal,Carlos Alcaraz,W,(ch),2.19,2.2%,6.7%,57.8%,80.8%,57.9%,2/3,1:17
19‑Apr‑2021,Barcelona,Clay,F,3,5,(1)Nadal d. (2)Stefanos Tsitsipas [GRE],6-4 6-7(6) 7-5,Rafael Nadal,Stefanos Tsitsipas,W,(ch),1.04,1.6%,4.1%,63.9%,69.2%,54.5%,11/13,3:38
19‑Apr‑2021,Barcelona,Clay,SF,3,13,(1)Nadal d. (6)Pablo Carreno Busta [ESP],6-3 6-2,Rafael Nadal,Pablo Carreno Busta,W,,1.53,5.4%,5.4%,62.5%,77.1%,52.4%,3/4,1:29
19‑Apr‑2021,Barcelona,Clay,QF,3,58,(1)Nadal d. Cameron Norrie [GBR],6-1 6-4,Rafael Nadal,Cameron Norrie,W,,1.45,7.0%,3.5%,59.6%,70.6%,56.5%,2/3,1:34
19‑Apr‑2021,Barcelona,Clay,R16,3,39,(1)Nadal d. Kei Nishikori [JPN],6-0 2-6 6-2,Rafael Nadal,Kei Nishikori,W,,1.20,2.4%,3.7%,59.8%,65.3%,51.5%,11/13,2:19
19‑Apr‑2021,Barcelona,Clay,R32,3,111,(1)Nadal d. (Q)Ilya Ivashka [BLR],3-6 6-2 6-4,Rafael Nadal,Ilya Ivashka,W,,1.26,1.2%,2.5%,61.7%,80.0%,51.6%,1/3,2:19
12‑Apr‑2021,Monte Carlo Masters,Clay,QF,3,8,(6)Andrey Rublev [RUS] d. (3)Nadal,6-2 4-6 6-2,Rafael Nadal,Andrey Rublev,L,(ch),0.88,1.1%,8.0%,59.1%,55.8%,41.7%,8/15,2:32
12‑Apr‑2021,Monte Carlo Masters,Clay,R16,3,17,(3)Nadal d. (14)Grigor Dimitrov [BUL],6-1 6-1,Rafael Nadal,Grigor Dimitrov,W,,2.73,8.1%,2.7%,64.9%,79.2%,76.9%,0/0,0:55
12‑Apr‑2021,Monte Carlo Masters,Clay,R32,3,87,(3)Nadal d. (Q)Federico Delbonis [ARG],6-1 6-2,Rafael Nadal,Federico Delbonis,W,,1.75,3.8%,3.8%,63.5%,72.7%,57.9%,4/5,1:20
8‑Feb‑2021,Australian Open,Hard,QF,2,6,(5)Stefanos Tsitsipas [GRE] d. (2)Nadal,3-6 2-6 7-6(4) 6-4 7-5,Rafael Nadal,Stefanos Tsitsipas,L,(ch),0.88,9.9%,1.3%,68.2%,77.7%,58.3%,3/5,4:05
8‑Feb‑2021,Australian Open,Hard,R16,2,17,(2)Nadal d. (16)Fabio Fognini [ITA],6-3 6-4 6-2,Rafael Nadal,Fabio Fognini,W,,1.74,8.3%,4.2%,59.7%,76.7%,69.0%,4/6,2:16
8‑Feb‑2021,Australian Open,Hard,R32,2,69,(2)Nadal d. Cameron Norrie [GBR],7-5 6-2 7-5,Rafael Nadal,Cameron Norrie,W,,1.73,8.5%,1.2%,68.3%,76.8%,69.2%,0/1,2:14
8‑Feb‑2021,Australian Open,Hard,R64,2,177,(2)Nadal d. (Q)Michael Mmoh [USA],6-1 6-4 6-2,Rafael Nadal,Michael Mmoh,W,,2.08,10.4%,4.5%,76.1%,84.3%,56.3%,0/0,1:47
8‑Feb‑2021,Australian Open,Hard,R128,2,56,(2)Nadal d. Laslo Djere [SRB],6-3 6-4 6-1,Rafael Nadal,Laslo Djere,W,,1.65,6.9%,1.4%,66.7%,83.3%,45.8%,4/5,1:52
16‑Nov‑2020,Tour Finals,Hard,SF,2,4,(4)Daniil Medvedev [RUS] d. (2)Nadal,3-6 7-6(4) 6-3,Rafael Nadal,Daniil Medvedev,L,(ch),0.76,2.6%,2.6%,56.4%,74.2%,37.3%,7/11,2:35
16‑Nov‑2020,Tour Finals,Hard,RR,2,3,(3)Dominic Thiem [AUT] d. (2)Nadal,7-6(7) 7-6(4),Rafael Nadal,Dominic Thiem,L,(ch),0.95,2.5%,1.3%,60.0%,68.8%,59.4%,4/5,2:25
16‑Nov‑2020,Tour Finals,Hard,RR,2,6,(2)Nadal d. (6)Stefanos Tsitsipas [GRE],6-4 4-6 6-2,Rafael Nadal,Stefanos Tsitsipas,W,,1.49,11.1%,1.4%,65.3%,80.9%,60.0%,1/3,2:04
16‑Nov‑2020,Tour Finals,Hard,RR,2,8,(2)Nadal d. (7)Andrey Rublev [RUS],6-3 6-4,Rafael Nadal,Andrey Rublev,W,(ch),1.63,3.7%,0.0%,72.2%,82.1%,66.7%,0/0,1:17
2‑Nov‑2020,Paris Masters,Hard,SF,2,7,(4)Alexander Zverev [GER] d. (1)Nadal,6-4 7-5,Rafael Nadal,Alexander Zverev,L,(ch),0.71,7.4%,0.0%,67.6%,63.0%,54.5%,5/8,1:39
2‑Nov‑2020,Paris Masters,Hard,QF,2,15,(1)Nadal d. (9)Pablo Carreno Busta [ESP],4-6 7-5 6-1,Rafael Nadal,Pablo Carreno Busta,W,,1.45,8.3%,2.4%,61.9%,80.8%,62.5%,4/5,2:13
2‑Nov‑2020,Paris Masters,Hard,R16,2,61,(1)Nadal d. Jordan Thompson [AUS],6-1 7-6(3),Rafael Nadal,Jordan Thompson,W,,1.84,5.1%,5.1%,61.0%,86.1%,69.6%,1/1,1:33
2‑Nov‑2020,Paris Masters,Hard,R32,2,64,(1)Nadal d. Feliciano Lopez [ESP],4-6 7-6(5) 6-4,Rafael Nadal,Feliciano Lopez,W,,1.38,17.6%,3.3%,62.6%,89.5%,55.9%,3/4,2:30
28‑Sep‑2020,Roland Garros,Clay,F,2,1,(1)Nadal d. (2)Novak Djokovic [SRB],6-0 6-2 7-5,Rafael Nadal,Novak Djokovic,W,,1.52,4.8%,1.2%,65.5%,67.3%,65.5%,4/5,2:41
28‑Sep‑2020,Roland Garros,Clay,SF,2,14,(2)Nadal d. (12)Diego Schwartzman [ARG],6-3 6-3 7-6(0),Rafael Nadal,Diego Schwartzman,W,,1.30,2.6%,0.0%,69.2%,67.9%,52.8%,9/12,3:09
28‑Sep‑2020,Roland Garros,Clay,QF,2,75,(2)Nadal d. Jannik Sinner [ITA],7-6(4) 6-4 6-1,Rafael Nadal,Jannik Sinner,W,,1.31,0.0%,1.0%,64.9%,66.7%,58.8%,5/7,2:49
28‑Sep‑2020,Roland Garros,Clay,R16,2,213,(2)Nadal d. (Q)Sebastian Korda [USA],6-1 6-1 6-2,Rafael Nadal,Sebastian Korda,W,,1.70,1.3%,1.3%,67.9%,62.3%,72.0%,5/6,1:55
28‑Sep‑2020,Roland Garros,Clay,R32,2,74,(2)Nadal d. Stefano Travaglia [ITA],6-1 6-4 6-0,Rafael Nadal,Stefano Travaglia,W,,2.51,3.2%,0.0%,72.6%,77.8%,82.4%,0/0,1:35
28‑Sep‑2020,Roland Garros,Clay,R64,2,236,(2)Nadal d. Mackenzie Mcdonald [USA],6-1 6-0 6-3,Rafael Nadal,Mackenzie Mcdonald,W,,1.94,1.4%,5.6%,68.1%,75.5%,60.9%,0/0,1:40
28‑Sep‑2020,Roland Garros,Clay,R128,2,83,(2)Nadal d. Egor Gerasimov [BLR],6-4 6-4 6-2,Rafael Nadal,Egor Gerasimov,W,,1.84,4.2%,2.8%,63.4%,82.2%,65.4%,1/2,2:05
14‑Sep‑2020,Rome Masters,Clay,QF,2,15,(8)Diego Schwartzman [ARG] d. (2)Nadal,6-2 7-5,Rafael Nadal,Diego Schwartzman,L,(ch),0.71,3.2%,0.0%,42.9%,48.1%,44.4%,4/9,2:03
14‑Sep‑2020,Rome Masters,Clay,R16,2,25,(2)Nadal d. Dusan Lajovic [SRB],6-1 6-3,Rafael Nadal,Dusan Lajovic,W,,1.59,4.9%,2.4%,65.9%,63.0%,64.3%,2/4,1:30
14‑Sep‑2020,Rome Masters,Clay,R32,2,18,(2)Nadal d. Pablo Carreno Busta [ESP],6-1 6-1,Rafael Nadal,Pablo Carreno Busta,W,,2.79,5.1%,5.1%,48.7%,78.9%,80.0%,1/1,1:13
24‑Feb‑2020,Acapulco,Hard,F,2,35,(1)Nadal d. Taylor Fritz [USA],6-3 6-2,Rafael Nadal,Taylor Fritz,W,(ch),2.17,2.2%,4.3%,63.0%,82.8%,76.5%,1/1,1:14
24‑Feb‑2020,Acapulco,Hard,SF,2,22,(1)Nadal d. (7)Grigor Dimitrov [BUL],6-3 6-2,Rafael Nadal,Grigor Dimitrov,W,(ch),1.26,6.2%,4.6%,63.1%,68.3%,37.5%,4/6,1:43
